State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.99841	3.83231	3.82440	3.68598	3.59501	3.48823	3.36563	3.31026	3.04133	2.84358	2.59838	2.71702	2.78030	2.77239	2.87126	2.91081	2.86335	2.80008	2.80799	2.83172	3.00969
2	1.29845	1.32896	1.31879	1.29675	1.36286	1.41711	1.43745	1.45270	1.52051	1.55102	1.53915	1.46626	1.42050	1.46118	1.41880	1.46966	1.53407	1.54085	1.51542	1.52729	1.46966
3	1.23472	1.17172	1.14337	1.21582	1.20952	1.22842	1.31346	1.35756	1.38906	1.38276	1.39220	1.38591	1.34811	1.34496	1.36386	1.31346	1.32291	1.38591	1.38276	1.30716	1.37016
4	3.11577	3.13401	3.07199	3.03551	3.00267	2.96619	2.92605	2.87862	2.89686	2.73268	2.60499	2.52108	2.50648	2.38243	2.32041	2.33136	2.28757	2.30947	2.31676	2.25839	2.18542
5	1.02673	1.03329	1.00869	1.00705	0.97589	0.98573	0.99065	0.99885	0.96113	0.92012	0.87912	0.87092	0.81515	0.78563	0.75447	0.72986	0.74135	0.72494	0.70690	0.72658	0.72166
6	1.78764	1.78046	1.80380	1.78764	1.80200	1.77328	1.78315	1.78226	1.78405	1.78944	1.78854	1.78315	1.75892	1.74008	1.69970	1.65124	1.59649	1.57855	1.56239	1.53188	1.50585
7	2.67059	2.67015	2.67501	2.67765	2.68163	2.69399	2.67765	2.66529	2.66220	2.65867	2.65072	2.61804	2.59243	2.55667	2.53547	2.49617	2.45290	2.40786	2.35752	2.32617	2.29393
8	2.43192	2.43192	2.45535	2.45535	2.49283	2.50689	2.54906	2.59592	2.53969	2.32883	2.19294	2.13203	2.07580	2.02894	1.90711	1.88368	1.88368	1.86962	1.82277	1.81808	1.73374
9	0.68942	0.69104	0.69139	0.69402	0.69301	0.69262	0.69266	0.69323	0.69599	0.70172	0.70947	0.71547	0.72348	0.73000	0.73687	0.74392	0.74992	0.75487	0.76174	0.76774	0.77286
10	2.85689	2.88173	2.87818	2.83560	2.84979	2.86044	2.91722	2.93497	2.89948	2.97046	2.95981	2.95626	2.86754	2.84624	2.81785	2.72913	2.72203	2.75042	2.77881	2.72203	2.70429
