State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	4.33208	5.12100	6.33231	8.21385	11.47425	16.87801	25.41999	36.74762	47.21653	51.50323	53.63261	58.08338	54.88581	47.02104	34.92194	22.93105	14.59153	9.65555	6.82102	4.98835	3.81544
2	1.95701	2.13954	2.41783	2.88613	3.53548	4.34491	5.02567	5.00772	4.40775	4.81322	4.66210	2.56296	2.42681	2.67817	3.05221	3.39783	3.12403	2.69612	2.26073	1.86723	1.68470
3	1.31779	1.38452	1.42066	1.54299	1.62083	1.69867	1.70145	1.79042	1.83490	1.47626	1.25663	1.17323	1.01198	0.88687	0.85351	0.83961	0.87853	0.87019	0.92301	0.93691	0.88131
4	5.83840	6.44059	7.12651	7.72549	7.79634	6.93008	5.27484	3.65826	2.84030	2.43776	2.47963	3.17521	4.92705	9.30343	16.51368	22.96071	25.97169	25.45966	23.20223	20.87074	18.31704
5	0.97284	0.87150	0.73976	0.62105	0.55446	0.52406	0.50958	0.49945	0.48063	0.47628	0.48931	0.49221	0.48497	0.48497	0.48787	0.50089	0.59065	0.81214	1.23342	1.73431	2.32641
6	1.52162	1.41231	1.25864	1.06062	0.86418	0.71368	0.61546	0.55051	0.50932	0.47367	0.46021	0.46734	0.49110	0.53071	0.60596	0.77784	1.19607	1.85747	2.48640	2.95057	3.23889
7	0.80405	0.76040	0.71714	0.65945	0.60684	0.55266	0.48991	0.42521	0.37416	0.35116	0.35116	0.35311	0.36558	0.37767	0.39442	0.44626	0.52850	0.63724	0.73312	0.82120	0.92370
8	0.83959	0.82718	0.86440	0.83131	0.86440	0.87267	0.85199	0.83545	0.78996	0.76928	0.78996	0.83545	0.83131	0.88922	0.87681	0.84786	0.86854	0.88508	0.91817	0.96366	0.97194
9	0.81365	0.80117	0.78367	0.75712	0.71640	0.65778	0.57935	0.48708	0.41107	0.37429	0.36142	0.36150	0.37410	0.39241	0.41710	0.44473	0.47340	0.49519	0.51378	0.53000	0.54322
10	5.74180	6.01433	6.26805	6.55937	6.73792	6.79118	6.60636	6.24300	5.66036	5.09338	4.75821	4.48568	4.92110	5.55385	6.22107	6.65961	6.89455	6.97912	6.86949	6.61263	6.27119
