State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.87911	64.69862	8.65627	1.46752	2.59865	53.63077	22.57160	0.39723
2	2.05109	3.37258	1.43874	1.11893	1.53931	4.66225	3.16198	0.61307
3	1.10382	0.34741	1.23629	1.32411	1.39235	1.25667	1.27993	0.33249
4	0.95296	3.00575	2.57319	2.26095	2.60526	2.47970	9.43104	0.08899
5	2.11982	0.19807	1.22526	2.30650	0.87921	0.48933	0.74777	0.08097
6	3.87427	0.38579	1.86999	2.26012	1.78783	0.46022	1.04828	0.16381
7	7.87382	0.44721	3.04231	2.17255	2.65055	0.35117	0.58719	0.33284
8	0.74199	1.12630	2.66288	0.72469	2.19317	0.78998	0.85038	0.61892
9	79.42344	0.18604	0.59577	0.76184	0.70950	0.36144	0.58226	1.17490
10	0.97968	12.15665	2.58427	1.02157	2.96012	4.75835	6.25213	0.75567
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
