State (Emission order)	H3k27me3	H2az	H3k4me3	H3k04me2	H3k27ac	H3k4me1	H3k79me2	H4k20me1	H3k36me3	H3k09me3
1	0.05436419346236673	0.6983108397513651	0.8687413526281397	0.9881917101707532	0.3402811500361978	0.174588775717067	0.17898476195908197	0.03683052543797113	0.0037280392945455544	0.008289270861456718
2	0.004202826272059965	0.1358927610073284	0.018409088854654015	0.3188129235849472	0.11854191142751905	0.36743248529716027	0.005241009381011643	0.01758360809599599	0.0034012720576321463	0.0031359629204397673
3	6.148362996009307E-4	0.17661344076667027	0.15345586778515932	0.6756143065151577	0.9299007689610851	0.7933290787390406	0.025645405964990778	0.037526222950423654	0.015787933978705006	0.0031928854863287697
4	0.0027918953415981165	0.029568853791197277	0.3470700441741979	0.8028616541204868	0.4313455050706293	0.5946435412749325	0.8435463433443385	0.6543369670303975	0.07767358745261423	0.002673884137301478
5	8.584559094608428E-4	4.8515139045867897E-4	0.0027739439575629817	0.01704211438434766	0.014602587739950757	0.04247146341427997	0.9336901478105569	0.7948288695365672	0.09371113406023221	0.00477628902941553
6	0.001148611419971265	0.001030593317915168	0.0012234069207410281	0.0045247846505790746	0.010279228885949242	0.019649854813304723	0.3657459515682495	0.2859043949176444	0.07395453055180674	0.004280653408803656
7	7.600739467835053E-4	4.4642903563490933E-4	8.180484189442445E-4	3.8469997170747133E-4	0.0021435992539463465	0.0039362293138630634	0.01957092734489174	0.05465341139870957	0.0826387905915472	0.001966700656864725
8	0.01318624748909403	0.03069068676084287	0.019499709179510716	0.002080304263462192	0.0017647456956919102	0.002119763683706076	0.011610278236815501	0.038794785036179225	0.04302775639692789	0.46593138955449315
9	0.0043177618916077146	0.0036491301622214615	4.1823208599226614E-4	2.4908146328517272E-11	1.6701525179690953E-4	8.05966021085606E-4	8.4768043155219E-5	4.370273775939934E-4	6.982378968426799E-4	0.005693062855690568
10	0.36093647386504646	0.01218748505759537	0.0046116034181986395	0.05897776661858177	2.128968045736484E-4	0.004827580855286484	5.72863800827417E-4	0.02596707122032853	2.2954671209920083E-4	0.010124657499339627
